Attrition,Age,DailyRate,DistanceFromHome,HourlyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research...Development,Department_Sales,Education_Below.College,Education_College,Education_Doctor,Education_Master,EducationField_Life.Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical.Degree,EnvironmentSatisfaction_Low,EnvironmentSatisfaction_Medium,EnvironmentSatisfaction_Very.High,Gender_Male,JobInvolvement_Low,JobInvolvement_Medium,JobInvolvement_Very.High,JobLevel_X2,JobLevel_X3,JobLevel_X4,JobLevel_X5,JobRole_Human.Resources,JobRole_Laboratory.Technician,JobRole_Manager,JobRole_Manufacturing.Director,JobRole_Research.Director,JobRole_Research.Scientist,JobRole_Sales.Executive,JobRole_Sales.Representative,JobSatisfaction_Low,JobSatisfaction_Medium,JobSatisfaction_Very.High,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,PerformanceRating_Outstanding,RelationshipSatisfaction_Low,RelationshipSatisfaction_Medium,RelationshipSatisfaction_Very.High,StockOptionLevel_X1,StockOptionLevel_X2,StockOptionLevel_X3,TrainingTimesLastYear_X1,TrainingTimesLastYear_X2,TrainingTimesLastYear_X3,TrainingTimesLastYear_X4,TrainingTimesLastYear_X5,TrainingTimesLastYear_X6,WorkLifeBalance_Best,WorkLifeBalance_Better,WorkLifeBalance_Good
0,-0.648447436862191,-0.32833389458690243,2.073240909179746,-1.7162881886988959,-0.7629490791870429,0.12038808041365111,1,17,-0.8070643925784047,-0.3277817711265376,-0.6152821931238183,0.562384517577205,-0.3147663692635607,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
0,-0.3200536384512743,1.3469690913794794,1.2097751320534422,1.3334779551501466,-0.8160506711340045,-0.7804538331123986,0,11,-1.0641079755250529,-0.8174557584802066,-0.6152821931238183,-0.36858985273641137,-0.5950247355975609,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,-0.867376635802802,1.4535342221436132,1.456479639803815,-0.7324926584250112,0.7385515347052453,-0.5785652133780047,1,11,-0.16445543521178413,0.48834154112957734,1.3167451999930848,1.8036836779953602,1.08652546240644,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,-0.5389828373918853,-1.1610288698601336,-0.5171564221991651,0.6940108604721216,-0.6807478148531462,0.10395038486116392,0,12,-0.5500208096317565,-0.16455710867531462,-0.6152821931238183,-0.6789146428409502,0.2457503634044396,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
0,-1.6336288320949408,0.7943173667189718,0.8397183704278836,1.4810472846912293,-0.7578513263601345,-0.9819209734736517,1,13,-1.3211515584717013,-0.9806804209314296,-1.1672900197286478,-0.6789146428409502,-1.1555414682655611,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
0,1.7597737514845309,1.0322302167970379,-0.8872131838247239,0.595631307444733,1.895529020045646,1.0829064755426228,2,16,2.534502185728022,2.936711477897922,1.04074128669067,0.2520597274726662,0.8062670960724398,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0.11780475942994784,-1.069333292225879,-0.8872131838247239,-1.0276313175071765,-0.5435333012621972,-1.4059292228531928,5,11,-0.6785426011050806,-0.6542310960289835,-0.6152821931238183,-0.36858985273641137,-0.5950247355975609,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,-1.4146996331543298,-0.32089911802196286,0.22295710105195232,1.4810472846912293,-0.5293020746204116,-0.8543532165364007,0,18,-0.8070643925784047,-0.4910064335777606,-0.6152821931238183,-0.36858985273641137,-0.3147663692635607,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0,-0.3200536384512743,-0.950376867186846,-0.27045191444879263,-0.6341131053976228,1.1663379594299685,0.9806274809938136,0,11,0.22110993920818822,0.8147908660320233,0.4887334600858406,-0.0582650626318726,1.9273005614084406,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,-1.7430934315652462,-1.0197681151262818,0.7163661165526973,1.4810472846912293,-1.1195793707028374,0.6979553147407862,1,14,-1.4496733499450254,-1.1439050833826525,-1.1672900197286478,-0.6789146428409502,-1.1555414682655611,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
0,1.7597737514845309,1.1883605246607687,-0.5171564221991651,-0.3881642228291516,2.6744231707236796,-0.5026989262126792,4,11,1.8918932283614018,1.1412401909344694,2.4207608532027436,0.562384517577205,1.08652546240644,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0,0.55566315731117,-0.2762904586323255,-0.1470996605736064,-0.8800619879660939,0.06840944433458901,0.9637683060681858,0,11,-0.16445543521178413,0.32511687867835437,0.7647373733882553,0.562384517577205,-0.5950247355975609,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,0.774592356251781,-0.8066378535980144,-0.27045191444879263,-1.1752006470482592,0.7954764412723881,-1.7167000139822668,3,14,1.6348496454147534,2.447037490544253,0.4887334600858406,0.8727093076817438,3.6088507594124417,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
0,0.9935215551923922,-0.2415948346626075,-0.8872131838247239,0.8415801900132042,2.6431994346588663,1.195441468171189,3,12,1.3778060624681052,-0.8174557584802066,-0.6152821931238183,-0.0582650626318726,-0.8752831019315611,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0,-0.42951823792157984,0.3011438545779807,-0.8872131838247239,0.595631307444733,-0.8510977218189992,-1.0738034768183236,4,11,-0.5500208096317565,-0.9806804209314296,-0.8912861064262331,-0.6789146428409502,-1.1555414682655611,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,0.774592356251781,1.627012341992203,0.09960484717676608,-1.2243904235619536,-0.00805684806903579,0.675476414839949,2,13,-0.2929772266851082,-0.4910064335777606,-0.6152821931238183,-0.36858985273641137,-0.3147663692635607,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0,-0.7579120363324965,-1.6789849705509232,-0.023747406698420157,0.8415801900132042,-0.9126955684774748,0.2534350692017311,1,13,-0.16445543521178413,0.48834154112957734,-1.1672900197286478,-0.36858985273641137,1.08652546240644,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0.6651277567814755,1.16605619496595,-0.8872131838247239,0.30049264836256767,-0.8194491730186101,1.06913814935336,1,12,-0.6785426011050806,-0.3277817711265376,-0.33927827982140357,-0.36858985273641137,-0.034508002929560584,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
0,-0.21058903898096878,0.21688305350866563,-0.8872131838247239,1.5302370612049234,-0.9534775910927413,-0.6499357205631627,1,13,-1.192629766998377,-0.8174557584802066,-0.6152821931238183,-0.0582650626318726,-0.5950247355975609,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,-0.10112443951066324,0.12270921701943115,-0.5171564221991651,0.79239041349951,-0.6550466443508167,-0.1743664945360763,9,14,-0.6785426011050806,-0.9806804209314296,-0.8912861064262331,-0.6789146428409502,-1.1555414682655611,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
0,-0.42951823792157984,0.8389260261086091,-1.01056543769991,-1.1752006470482592,-0.23936738259000082,-1.5622980702883915,2,19,-0.16445543521178413,-0.3277817711265376,-0.33927827982140357,-0.36858985273641137,-0.3147663692635607,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,-0.21058903898096878,-0.8388552187127525,-0.6405086760743514,0.4480619779036504,-0.9668591922633757,-0.4781126294461386,1,12,-1.3211515584717013,-0.9806804209314296,-1.1672900197286478,-0.6789146428409502,-1.1555414682655611,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,-1.0863058347434131,1.0842736527516148,-0.8872131838247239,-1.6179086356715073,-0.8840207088261155,0.758929330721807,1,13,-1.3211515584717013,-0.9806804209314296,-1.1672900197286478,-0.6789146428409502,-1.1555414682655611,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0,-1.0863058347434131,0.4746219744265705,-0.1470996605736064,-1.4211495296167305,0.47219394949928556,-1.592925571403282,1,15,-0.2929772266851082,0.32511687867835437,1.04074128669067,-0.36858985273641137,0.8062670960724398,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,-0.7579120363324965,-0.20194269298292983,-1.01056543769991,-0.3881642228291516,-0.5293020746204116,-0.49623624249118853,1,23,0.09258814773486411,0.8147908660320233,1.04074128669067,0.2520597274726662,0.8062670960724398,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.3200536384512743,0.6505783531301402,1.7031841475541873,0.30049264836256767,-0.4109917277625809,-0.6011846064032221,0,20,-0.16445543521178413,0.32511687867835437,0.2127295467834259,1.8036836779953602,0.8062670960724398,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.008340159959642298,-0.9776377145916244,1.2097751320534422,0.3496824248762619,-0.7393719723625919,-0.5740694333978372,4,21,-0.4214990181584324,-0.9806804209314296,-1.1672900197286478,-0.6789146428409502,-1.1555414682655611,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0.9935215551923922,1.012404145957199,-0.5171564221991651,1.5794268377186178,-0.15525446094601353,0.8614893115193766,4,21,0.3496317306815123,0.32511687867835437,0.4887334600858406,-0.6789146428409502,1.08652546240644,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,-0.21058903898096878,1.0570128053468364,-0.1470996605736064,-1.4703393061304246,-0.8993139673068404,-1.3236002519663768,1,19,-1.3211515584717013,-0.9806804209314296,-1.1672900197286478,-0.6789146428409502,-0.8752831019315611,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,0.774592356251781,1.6988818487866189,-1.01056543769991,0.4480619779036504,-0.22279968590254878,-1.4476556807941219,5,21,-0.2929772266851082,-0.4910064335777606,-0.33927827982140357,-0.36858985273641137,-0.3147663692635607,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,-0.21058903898096878,0.7298826364894956,0.22295710105195232,0.6448210839584273,0.7181605233976119,-0.8445186978297845,2,13,-0.16445543521178413,-0.4910064335777606,-1.1672900197286478,-0.0582650626318726,-0.3147663692635607,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,-1.1957704342137185,1.5873602003125253,1.7031841475541873,-0.9292517644797882,-0.49829074492338593,1.0007179977801868,7,19,-0.8070643925784047,-0.8174557584802066,-0.6152821931238183,-0.6789146428409502,-1.1555414682655611,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,-0.42951823792157984,-0.7124640171087799,-1.01056543769991,1.5794268377186178,1.477300881871376,0.11701624542852553,1,12,0.4781535221548365,1.3044648533856922,2.6967647665051584,1.8036836779953602,2.207558927742441,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,-0.21058903898096878,0.125187475874411,1.0864228781782561,0.25130287184887345,0.5450493336505169,-0.46111296139613045,1,22,-0.2929772266851082,0.32511687867835437,1.04074128669067,-0.36858985273641137,1.08652546240644,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0,-0.21058903898096878,0.841404284963589,1.7031841475541873,-1.76547796521259,-0.528664855517048,0.2372783598980044,3,15,-0.9355861840517289,-0.8174557584802066,-0.6152821931238183,-0.0582650626318726,-0.5950247355975609,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,-0.648447436862191,-0.36550777741160023,-0.27045191444879263,-0.8800619879660939,-0.12488035035235145,-0.6722741273396197,3,22,-0.16445543521178413,-0.0013324462240916321,0.7647373733882553,-0.36858985273641137,0.8062670960724398,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0,0.008340159959642298,0.7744912958791329,-1.01056543769991,-0.7324926584250112,-0.10831265366489942,-1.6331066049760286,1,18,-0.5500208096317565,-0.0013324462240916321,0.2127295467834259,-0.6789146428409502,0.8062670960724398,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,-0.5389828373918853,-0.9305507963470071,-1.01056543769991,-1.6179086356715073,-0.07241597750875334,-0.48274890255068625,1,22,-0.2929772266851082,0.32511687867835437,1.04074128669067,1.4933588878908215,1.08652546240644,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0,0.11780475942994784,-0.37046429512155993,2.443297670805305,-0.7816824349387055,-0.8702142949199054,-1.2443621298159258,1,11,-0.16445543521178413,0.48834154112957734,-0.33927827982140357,2.114008468099899,1.3667838287404401,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,1.4313799530736142,0.46223068015167124,-0.27045191444879263,-1.126010870534565,2.599231316526782,0.33548305383978677,5,12,2.277458602781374,3.263160802800368,-0.33927827982140357,3.3553076285180543,1.08652546240644,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
0,2.416561348306364,1.5675341294726866,1.9498886553045598,1.628616614232312,0.2408834149783205,-1.6801718016434064,7,11,2.1489368113080496,2.28381282809303,3.2487725931099876,1.4933588878908215,1.3667838287404401,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0,-0.10112443951066324,1.0421432522169574,-0.1470996605736064,-0.33897444631545737,0.7631906733686354,-0.8585680102678077,1,13,0.7351971051014847,1.630914178288138,2.6967647665051584,3.0449828384135156,1.08652546240644,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0,1.9787029504251419,0.08305707533975347,-0.1470996605736064,-1.6179086356715073,1.753004347260001,0.7610367275875105,2,14,1.2492842709947811,-0.3277817711265376,-1.1672900197286478,-0.6789146428409502,-0.5950247355975609,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,-0.10112443951066324,0.9727520042775213,0.22295710105195232,1.431857508177535,-8.350315642490032e-4,1.1721196095240702,1,13,-0.6785426011050806,-0.16455710867531462,0.2127295467834259,-0.6789146428409502,-0.3147663692635607,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0.8840569557220865,1.3296212793946205,-0.27045191444879263,-0.33897444631545737,0.6841755045515565,0.6285517112969514,2,17,1.7633714368880777,-0.9806804209314296,-1.1672900197286478,-0.6789146428409502,-1.1555414682655611,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,-0.21058903898096878,-0.3432034477167816,-1.01056543769991,0.6448210839584273,-0.9152444448909289,-1.18647896257127,4,13,-0.8070643925784047,-0.6542310960289835,-0.6152821931238183,-0.36858985273641137,-0.5950247355975609,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
